Id,Date,Identifier,Chlorine,Coliforms,Pseudomonas,Staphylococcus,Turbidity,pH,Time,Latitude,Longitude
NP00000208,"Sunday, 1 January 2017",0,2.5,0,0,0,0.4,8,,31.826192,35.432139
NP00000236,"Sunday, 1 January 2017",0,2,0,0,0,0.4,7.9,,31.947215,35.422375
NP00000246,"Sunday, 1 January 2017",0,2.6,0,0,0,0.4,7.8,,32.062687,35.474317
NP00000288,"Sunday, 1 January 2017",0,1.7,0,0,0,0.4,7.9,,32.365285,35.51602
NP00000344,"Sunday, 1 January 2017",0,2.5,0,0,0,0.4,7.2,,31.7855411,35.2152046
NP00000570,"Sunday, 1 January 2017",0,1.8,0,0,0,0.4,8,,32.347731,35.530587
NP00001109,"Sunday, 1 January 2017",0,1.5,0,0,0,0.4,7.9,,32.824808,35.765777
NP00001111,"Sunday, 1 January 2017",0,1.6,0,0,0,0.4,7.9,,33.044087,35.838507
NP00001114,"Sunday, 1 January 2017",0,2,0,0,0,0.4,7.8,,32.798262,35.69107
NP00001117,"Sunday, 1 January 2017",0,1.7,0,0,0,0.4,7.8,,32.8456305,35.7929907
NP00001120,"Sunday, 1 January 2017",0,2.2,0,0,0,0.4,7.9,,31.759335,35.220787
NP00001131,"Sunday, 1 January 2017",0,1.8,0,0,0,0.4,8,,31.759335,35.220787
NP00001132,"Sunday, 1 January 2017",0,2,0,0,0,0.4,8,,32.844066,35.80658
NP00003372,"Sunday, 1 January 2017",0,2.9,0,0,0,0.4,7.7,,31.849598,35.034977
NP00003398,"Sunday, 1 January 2017",0,3.4,0,0,0,0.3,7.4,,31.9090429,34.998517
NP00003415,"Sunday, 1 January 2017",0,3.2,0,0,0,0.4,7.7,,31.890267,35.010397
NP00003416,"Sunday, 1 January 2017",0,4.3,0,0,0,0.7,7.8,,31.890267,35.010397
NP00003430,"Sunday, 1 January 2017",0,1.9,0,0,0,0.5,7.7,,31.932631,35.023269
NP00003441,"Sunday, 1 January 2017",0,3,0,0,0,0.4,7.7,,31.9119413,35.0054934
NP00003442,"Sunday, 1 January 2017",0,,0,0,0,0.4,8,,31.8697233,34.9823428
NP00003446,"Sunday, 1 January 2017",0,1.7,0,0,0,0.5,7.8,,31.87989,35.124097
NP00000685,"Monday, 2 January 2017",0,2.9,0,0,0,0.4,7.8,,32.9579703,35.4961069
NP00000702,"Monday, 2 January 2017",0,2.4,0,0,0,0.4,7.7,,33.05358,35.589013
NP00000768,"Monday, 2 January 2017",0,2,0,0,0,0.5,7.7,,32.9686658,35.4914559
NP00000775,"Monday, 2 January 2017",0,2.2,0,0,0,0.4,7.7,,32.950829,35.528538
NP00000777,"Monday, 2 January 2017",0,2.9,0,0,0,0.4,7.6,,32.980382,35.543548
NP00000778,"Monday, 2 January 2017",0,3.1,0,0,0,1.4,7.9,,32.980382,35.543548
NP00000785,"Monday, 2 January 2017",0,3.5,0,0,0,0.3,7.5,,32.964648,35.495997
NP00001728,"Monday, 2 January 2017",0,,0,0,0,0.4,8,,32.906535,35.2927698
NP00001729,"Monday, 2 January 2017",0,1.5,0,0,0,0.4,8,,33.034294,35.326348
NP00001734,"Monday, 2 January 2017",0,2.7,0,0,0,0.4,7.7,,32.914671,35.292417
NP00001735,"Monday, 2 January 2017",0,4.6,0,0,0,1.8,7.8,,32.9177019,35.3012469
