,Id,Date,Identifier,Chlorine,Coliforms,Pseudomonas,Staphylococcus,Turbidity,pH,Time,Latitude,Longitude,district
0,NP00005137,"Sunday, 22 January 2017",0.0,2.8,0.0,0.0,0.0,0.4,7.7,,31.668047,34.624296,מחוז אשקלון
1,NP00005137,"Wednesday, 15 February 2017",0.0,2.5,0.0,0.0,0.0,0.4,7.8,,31.668047,34.624296,מחוז אשקלון
2,NP00005137,"Monday, 27 March 2017",0.0,3.0,0.0,0.0,0.0,0.4,7.6,,31.668047,34.624296,מחוז אשקלון
3,NP00005137,"Tuesday, 25 April 2017",0.0,2.5,0.0,0.0,0.0,0.4,7.6,,31.668047,34.624296,מחוז אשקלון
4,NP00005137,"Thursday, 11 May 2017",0.0,3.3,0.0,0.0,0.0,0.4,7.6,,31.668047,34.624296,מחוז אשקלון
5,NP00005137,"Tuesday, 6 June 2017",0.0,2.7,0.0,0.0,0.0,0.4,7.7,,31.668047,34.624296,מחוז אשקלון
6,NP00005137,"Monday, 25 September 2017",0.0,2.8,0.0,0.0,0.0,0.4,7.6,,31.668047,34.624296,מחוז אשקלון
7,NP00005137,"Tuesday, 24 October 2017",0.0,2.3,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
8,NP00005137,"Wednesday, 8 November 2017",0.0,3.0,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
9,NP00005137,"Monday, 18 December 2017",0.0,3.1,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
10,NP00005137,"Monday, 22 January 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.6,,31.668047,34.624296,מחוז אשקלון
11,NP00005137,"Sunday, 4 February 2018",0.0,1.8,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
12,NP00005137,"Monday, 23 April 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
13,NP00005137,"Sunday, 27 May 2018",0.0,2.0,0.0,0.0,0.0,0.4,7.5,,31.668047,34.624296,מחוז אשקלון
14,NP00005137,"Wednesday, 27 June 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.4,,31.668047,34.624296,מחוז אשקלון
15,NP00005137,"Tuesday, 10 July 2018",0.0,3.3,0.0,0.0,0.0,0.4,7.4,,31.668047,34.624296,מחוז אשקלון
16,NP00005137,"Sunday, 5 August 2018",0.0,2.0,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
17,NP00005137,"Thursday, 6 September 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.4,,31.668047,34.624296,מחוז אשקלון
18,NP00005137,"Thursday, 18 October 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
19,NP00005137,"Thursday, 8 November 2018",0.0,2.0,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
20,NP00005137,"Sunday, 23 December 2018",0.0,3.3,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
21,NP00005137,"Tuesday, 29 January 2019",0.0,1.7,0.0,0.0,0.0,0.4,7.2,,31.668047,34.624296,מחוז אשקלון
22,NP00005137,"Wednesday, 27 February 2019",0.0,2.6,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
23,NP00005137,"Tuesday, 2 April 2019",0.0,2.9,0.0,0.0,0.0,0.4,7.2,,31.668047,34.624296,מחוז אשקלון
24,NP00005137,"Monday, 24 June 2019",0.0,2.0,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
25,NP00005137,"Thursday, 15 August 2019",0.0,2.7,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
26,NP00005137,"Thursday, 26 September 2019",0.0,2.6,0.0,0.0,0.0,0.4,7.4,,31.668047,34.624296,מחוז אשקלון
27,NP00005137,"Wednesday, 25 December 2019",0.0,3.3,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
28,NP00005137,"Monday, 27 January 2020",0.0,2.1,0.0,0.0,0.0,0.4,7.3,,31.668047,34.624296,מחוז אשקלון
29,NP00005137,"Thursday, 20 February 2020",0.0,1.5,0.0,0.0,0.0,0.4,7.2,,31.668047,34.624296,מחוז אשקלון
30,NP00005137,"Monday, 19 April 2021",,0.13,0.0,0.0,0.0,0.03,7.21,09:00:00,31.668047,34.624296,מחוז אשקלון
31,NP00005137,"Monday, 10 May 2021",,0.84,0.0,0.0,0.0,0.03,7.54,09:00:00,31.668047,34.624296,מחוז אשקלון
32,NP00005137,"Monday, 31 May 2021",,0.01,16.0,2.0,0.0,0.32,7.71,08:00:00,31.668047,34.624296,מחוז אשקלון
33,NP00005137,"Monday, 28 June 2021",,3.04,0.0,0.0,0.0,0.53,8.47,08:30:00,31.668047,34.624296,מחוז אשקלון
34,NP00005137,"Monday, 26 July 2021",,2.66,0.0,0.0,0.0,0.02,7.96,09:00:00,31.668047,34.624296,מחוז אשקלון
35,NP00005137,"Monday, 11 October 2021",,4.4,0.0,0.0,0.0,0.12,7.0,08:30:00,31.668047,34.624296,מחוז אשקלון
36,NP00005137,"Monday, 15 November 2021",,1.02,8.0,250.0,2.0,0.11,6.91,08:00:00,31.668047,34.624296,מחוז אשקלון
37,NP00005137,"Monday, 10 January 2022",,0.83,0.0,0.0,0.0,0.09,6.94,08:30:00,31.668047,34.624296,מחוז אשקלון
38,NP00005137,"Monday, 21 March 2022",,2.26,0.0,0.0,0.0,0.06,7.02,08:00:00,31.668047,34.624296,מחוז אשקלון
39,NP00005137,"Monday, 9 May 2022",,1.7,0.0,0.0,0.0,0.31,6.67,08:00:00,31.668047,34.624296,מחוז אשקלון
40,NP00005137,"Monday, 18 July 2022",,0.11,0.0,0.0,0.0,0.03,7.2,07:00:00,31.668047,34.624296,מחוז אשקלון
41,NP00005137,"Monday, 6 February 2023",,2.15,0.0,100.0,1.0,0.01,7.43,08:30:00,31.668047,34.624296,מחוז אשקלון
42,NP00005137,"Monday, 13 February 2023",,3.81,0.0,0.0,0.0,0.04,7.21,08:00:00,31.668047,34.624296,מחוז אשקלון
43,NP00005229,"Sunday, 22 January 2017",0.0,2.5,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
44,NP00005229,"Wednesday, 15 February 2017",0.0,2.9,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
45,NP00005229,"Monday, 27 March 2017",0.0,2.9,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
46,NP00005229,"Tuesday, 25 April 2017",0.0,2.7,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
47,NP00005229,"Thursday, 11 May 2017",0.0,3.5,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
48,NP00005229,"Tuesday, 6 June 2017",0.0,3.0,0.0,0.0,0.0,0.4,7.7,,31.747041,34.988099,מחוז אשקלון
49,NP00005229,"Monday, 25 September 2017",0.0,2.6,0.0,0.0,0.0,0.4,7.7,,31.747041,34.988099,מחוז אשקלון
50,NP00005229,"Tuesday, 24 October 2017",0.0,2.7,0.0,0.0,0.0,0.4,7.6,,31.747041,34.988099,מחוז אשקלון
51,NP00005229,"Wednesday, 8 November 2017",0.0,2.7,0.0,0.0,0.0,0.4,7.7,,31.747041,34.988099,מחוז אשקלון
52,NP00005229,"Monday, 18 December 2017",0.0,2.2,0.0,0.0,0.0,0.4,7.5,,31.747041,34.988099,מחוז אשקלון
53,NP00005229,"Monday, 22 January 2018",0.0,2.9,0.0,0.0,0.0,0.4,7.5,,31.747041,34.988099,מחוז אשקלון
54,NP00005229,"Sunday, 11 March 2018",0.0,2.0,0.0,0.0,0.0,0.4,7.5,,31.747041,34.988099,מחוז אשקלון
55,NP00005229,"Monday, 23 April 2018",0.0,2.7,0.0,0.0,0.0,0.4,7.4,,31.747041,34.988099,מחוז אשקלון
56,NP00005229,"Sunday, 27 May 2018",0.0,2.3,0.0,0.0,0.0,0.4,7.4,,31.747041,34.988099,מחוז אשקלון
57,NP00005229,"Wednesday, 27 June 2018",0.0,3.0,0.0,0.0,0.0,0.4,7.4,,31.747041,34.988099,מחוז אשקלון
58,NP00005229,"Tuesday, 10 July 2018",0.0,2.3,0.0,0.0,0.0,0.5,7.5,,31.747041,34.988099,מחוז אשקלון
59,NP00005229,"Sunday, 5 August 2018",0.0,2.5,0.0,0.0,0.0,0.4,7.4,,31.747041,34.988099,מחוז אשקלון
